N,P,K,temperature,humidity,ph,rainfall,label
46,116,42,18.92,35.76,7.06,104.96,pigeonpeas
26,107,37,31.51,91.72,3.97,185.77,pigeonpeas
65,143,54,30.64,54.83,3.97,201.05,pigeonpeas
137,27,23,31.04,65.15,8.11,240.05,pigeonpeas
58,53,142,18.47,61.23,7.51,113.32,pigeonpeas
94,69,161,37.42,33.29,5.3,135.7,pigeonpeas
113,20,153,10.9,19.4,7.32,191.47,pigeonpeas
102,19,190,19.8,83.9,6.04,71.94,pigeonpeas
36,130,6,33.91,48.93,6.05,255.09,pigeonpeas
71,34,56,27.74,76.27,5.12,226.94,pigeonpeas
113,84,139,24.56,21.79,6.52,41.9,pigeonpeas
30,29,201,19.16,58.0,7.96,217.98,pigeonpeas
80,40,113,34.79,20.93,7.55,108.13,pigeonpeas
27,93,61,11.26,87.87,3.98,86.96,pigeonpeas
80,50,128,39.59,22.49,4.59,191.06,pigeonpeas
21,108,136,22.09,93.32,6.16,259.71,mothbeans
98,40,185,18.01,78.86,8.19,54.04,mothbeans
34,37,28,43.04,91.11,9.71,38.84,mothbeans
76,63,112,14.14,83.33,5.5,278.94,mothbeans
18,111,90,21.17,70.07,8.53,172.2,mothbeans
70,99,65,13.2,18.97,6.72,158.34,mothbeans
67,110,83,30.91,33.65,3.85,71.11,mothbeans
78,53,45,36.48,70.95,7.55,256.93,mothbeans
117,122,51,25.43,35.38,5.5,65.23,mothbeans
57,6,71,24.19,19.63,4.69,35.81,mothbeans
16,92,146,20.47,85.58,6.32,26.32,mothbeans
98,53,102,32.2,65.76,5.81,130.13,mothbeans
57,10,141,37.77,92.87,9.32,244.08,mothbeans
116,25,158,27.53,93.39,9.14,152.52,mothbeans
115,37,195,42.95,50.55,7.64,291.97,mothbeans
25,12,154,32.61,14.46,7.19,244.98,mothbeans
72,65,127,11.46,75.13,5.15,157.75,mothbeans
74,37,121,33.59,37.38,6.92,111.96,mothbeans
118,91,76,39.54,66.0,5.97,181.9,mothbeans
64,99,122,31.07,58.67,5.5,128.48,mothbeans
68,139,113,11.8,67.95,5.3,83.65,mothbeans
0,127,82,32.48,87.16,9.21,243.95,mothbeans
103,30,90,20.81,15.26,8.66,181.06,mothbeans
117,104,110,34.56,54.26,7.33,106.1,mothbeans
46,100,49,14.49,59.21,6.6,150.17,mothbeans
46,88,70,19.9,35.67,4.27,294.07,mothbeans
10,112,120,19.43,93.82,6.88,121.09,mothbeans
48,48,177,40.78,35.18,8.44,239.23,mothbeans
115,89,16,37.11,52.54,6.67,285.06,mothbeans
127,120,108,16.18,62.67,9.07,91.26,mothbeans
79,50,30,14.85,32.84,7.22,187.24,mothbeans
124,129,66,11.41,21.21,6.83,142.34,mothbeans
17,100,145,24.78,97.43,5.5,255.82,mothbeans
83,19,134,12.7,28.58,6.98,276.11,mothbeans
42,105,109,17.67,46.99,4.18,42.89,mothbeans
30,33,97,42.72,51.02,8.96,143.27,mothbeans
131,53,168,23.28,82.99,8.31,150.72,mothbeans
60,75,48,15.7,26.15,5.22,29.17,mothbeans
74,71,59,38.19,43.75,7.87,222.13,mothbeans
71,92,6,18.61,29.65,8.91,47.36,mothbeans
55,143,40,13.56,93.09,7.12,67.26,mothbeans
16,75,18,38.06,35.31,6.79,93.97,mothbeans
5,123,33,25.39,76.24,6.61,184.83,mothbeans
11,51,66,30.26,15.39,9.87,234.07,mothbeans
57,140,32,38.3,65.6,5.83,168.87,mothbeans
91,133,186,28.16,62.08,8.11,73.17,mothbeans
2,121,124,31.48,77.16,6.05,277.31,mothbeans
96,97,41,23.06,43.51,8.69,212.93,mothbeans
58,62,31,25.26,27.42,7.26,69.98,mothbeans
136,138,180,17.86,59.43,7.0,97.76,mothbeans
4,98,131,11.46,85.9,9.39,197.44,mothbeans
124,142,21,37.2,57.43,9.16,222.15,mothbeans
123,121,93,22.04,80.17,5.07,184.3,mothbeans
137,117,35,28.2,97.33,3.86,267.34,mothbeans
23,142,8,10.21,91.94,3.53,274.62,mothbeans
78,5,41,18.97,30.44,7.41,28.9,mothbeans
51,15,108,38.61,73.97,6.94,32.02,mothbeans
94,34,34,25.96,64.27,7.21,51.5,mothbeans
91,71,141,17.9,48.82,5.67,41.56,mothbeans
95,112,177,26.58,47.36,8.44,97.59,mothbeans
37,23,119,21.28,74.4,4.21,26.55,mothbeans
97,101,138,20.49,70.95,4.99,263.39,mothbeans
86,145,37,39.68,18.18,7.49,124.56,mothbeans
93,12,102,29.94,78.75,8.43,267.11,mothbeans
72,120,60,30.46,27.62,8.49,71.04,mothbeans
34,132,144,36.46,86.82,6.91,138.8,mothbeans
26,100,162,29.65,84.55,8.74,68.51,mothbeans
70,74,68,32.77,25.55,8.66,32.75,mothbeans
111,45,116,13.27,15.16,9.84,45.71,mothbeans
73,109,15,10.2,84.45,5.08,159.09,mothbeans
101,80,186,24.2,75.58,5.26,234.46,mothbeans
48,38,190,22.3,70.48,4.64,239.28,mothbeans
100,110,43,11.28,77.61,9.37,62.46,mothbeans
36,115,12,21.29,20.47,9.08,226.47,mothbeans
125,60,110,26.23,90.87,9.16,57.63,mothbeans
137,20,77,34.76,88.82,6.81,134.23,mothbeans
71,93,75,31.85,89.6,8.69,63.81,mothbeans
71,60,166,10.0,63.48,5.82,285.2,mothbeans
129,82,179,22.18,37.76,6.76,232.69,mothbeans
56,56,182,36.8,44.6,5.77,288.49,mothbeans
41,51,173,13.3,88.93,4.7,89.73,mothbeans
86,139,122,28.23,63.44,7.68,147.44,mothbeans
35,143,97,17.0,85.66,7.38,212.13,mothbeans
99,57,199,17.28,31.91,5.51,272.22,mothbeans
47,76,179,15.81,14.78,7.09,76.7,mothbeans
121,10,166,10.18,57.44,6.35,64.6,mothbeans
79,75,7,9.3,83.46,6.71,251.1,mothbeans
113,16,183,31.84,58.15,3.79,100.94,mothbeans
123,38,197,36.3,69.27,3.79,179.99,mothbeans
31,29,150,43.05,61.91,9.35,293.82,mothbeans
35,139,169,16.22,20.57,9.66,240.19,mothbeans
66,77,170,23.28,85.11,6.03,80.25,mothbeans
140,35,183,13.43,27.91,9.32,70.18,mothbeans
76,115,62,13.52,85.31,9.04,263.33,mothbeans
65,36,39,10.73,65.82,8.59,217.54,mothbeans
22,14,158,11.49,39.87,8.99,165.29,mothbeans
45,81,20,38.55,63.56,4.99,58.22,mothbeans
57,130,162,34.68,51.42,5.8,141.74,mothbeans
15,124,72,16.69,21.05,9.14,208.33,mothbeans
79,60,138,30.38,92.32,4.58,235.52,mothbeans
64,73,156,10.64,36.73,7.38,172.16,mungbean
127,106,174,24.21,83.36,5.54,133.52,mungbean
30,113,135,18.7,20.9,8.69,286.65,mungbean
34,54,189,38.85,31.81,6.81,292.61,mungbean
111,19,183,14.52,22.05,4.93,25.97,mungbean
102,11,177,26.79,97.9,6.57,65.93,mungbean
62,47,164,33.54,80.01,7.98,182.31,mungbean
15,7,118,34.23,83.67,9.44,227.44,mungbean
44,22,11,16.97,59.27,5.24,147.96,mungbean
26,63,106,32.51,34.92,7.11,63.78,mungbean
111,128,35,9.06,20.26,8.65,185.66,mungbean
33,112,137,34.91,76.7,9.87,34.06,mungbean
41,145,57,36.82,15.49,6.76,258.79,mungbean
19,48,193,43.04,29.98,3.84,272.71,mungbean
98,110,99,22.17,36.43,4.53,166.15,mungbean
103,123,197,10.46,19.36,9.88,143.2,mungbean
95,104,122,12.55,78.5,5.69,254.52,mungbean
129,20,175,18.84,19.67,7.8,93.05,mungbean
125,125,182,35.39,31.19,8.3,249.17,mungbean
136,127,76,28.15,76.56,4.01,24.56,mungbean
42,94,29,39.8,58.83,9.35,106.01,mungbean
0,143,120,16.1,25.63,5.94,107.3,mungbean
36,50,114,19.71,15.22,8.9,54.76,mungbean
138,25,200,17.78,33.59,5.54,108.09,mungbean
102,140,80,18.27,35.85,7.95,249.32,mungbean
96,54,160,9.17,38.78,9.32,186.34,mungbean
9,73,187,10.87,41.67,8.66,135.1,mungbean
45,21,151,13.93,15.79,8.04,30.24,mungbean
20,65,5,37.2,19.33,3.63,252.05,mungbean
102,55,72,14.45,49.88,7.56,129.35,mungbean
108,108,77,16.17,77.32,4.79,53.37,mungbean
140,103,67,41.91,76.46,6.16,256.73,mungbean
102,103,67,35.54,34.76,3.59,58.13,mungbean
74,22,53,19.9,19.26,4.09,36.63,mungbean
17,15,38,12.97,52.05,6.15,193.26,mungbean
68,58,18,13.45,24.55,5.22,35.66,mungbean
122,133,146,41.29,44.7,6.74,69.12,mungbean
59,41,27,29.19,34.49,4.39,234.89,mungbean
117,116,8,37.32,81.09,7.01,51.34,mungbean
15,124,176,18.53,57.2,8.68,159.07,mungbean
74,41,160,36.02,95.99,7.16,43.93,mungbean
110,121,126,12.7,40.0,6.44,262.75,mungbean
95,42,32,32.05,31.03,5.99,24.93,mungbean
70,113,21,40.26,49.8,5.17,291.64,mungbean
133,142,120,20.66,90.57,7.63,112.49,mungbean
69,121,11,43.02,65.0,8.87,171.35,mungbean
81,79,106,9.68,40.54,7.03,42.5,mungbean
36,107,102,33.23,89.57,6.05,165.4,mungbean
115,19,154,39.58,70.39,4.96,228.0,mungbean
5,97,162,37.5,75.5,6.45,267.76,mungbean
40,132,109,31.82,55.85,5.07,125.76,mungbean
4,48,41,29.21,97.05,9.1,25.79,mungbean
121,102,202,12.3,41.61,3.71,266.12,mungbean
49,44,58,42.33,54.52,9.84,229.2,mungbean
67,136,62,20.72,78.3,7.79,83.76,mungbean
102,12,73,25.4,81.09,9.52,280.46,mungbean
52,46,156,24.63,22.78,5.56,161.23,mungbean
57,119,158,23.34,65.66,6.92,131.91,mungbean
111,53,120,33.05,20.28,6.31,216.99,mungbean
1,66,95,41.92,28.76,5.14,124.38,mungbean
117,143,152,30.99,37.61,7.69,39.07,mungbean
98,30,150,35.4,29.66,3.58,155.75,mungbean
10,17,52,12.64,98.87,6.62,161.78,mungbean
44,12,144,35.26,77.7,9.46,82.14,mungbean
77,45,107,42.26,40.15,5.51,98.13,mungbean
50,79,73,19.59,92.93,9.77,212.19,mungbean
6,88,75,12.68,58.6,5.34,256.5,mungbean
112,107,28,35.32,35.45,6.73,117.56,mungbean
104,46,41,24.77,99.67,9.23,52.85,mungbean
90,11,33,42.66,33.2,3.85,166.86,mungbean
87,105,106,12.3,71.23,5.29,174.01,mungbean
79,116,134,24.88,69.33,7.16,71.27,mungbean
90,76,118,17.29,38.19,7.86,107.55,mungbean
64,58,72,10.2,50.87,6.34,280.29,mungbean
128,40,147,38.38,76.29,8.26,293.41,mungbean
50,70,19,24.13,48.33,7.61,201.73,mungbean
89,58,50,41.69,22.52,9.73,132.9,mungbean
138,58,132,40.98,22.13,5.21,131.75,mungbean
46,88,167,28.89,70.74,7.95,276.77,mungbean
139,12,157,28.73,35.3,3.66,283.39,mungbean
94,89,142,26.38,90.62,5.21,262.25,mungbean
95,86,201,39.57,56.42,4.27,268.16,mungbean
36,39,142,41.69,63.78,5.35,56.64,mungbean
93,108,141,40.98,90.08,8.13,171.59,mungbean
94,116,138,19.88,19.38,8.17,268.19,mungbean
111,134,78,17.53,69.35,9.17,144.33,mungbean
132,35,38,22.89,73.8,3.96,274.49,mungbean
110,61,170,11.03,78.85,8.35,292.57,mungbean
61,107,171,16.28,94.74,3.77,28.3,mungbean
113,66,200,22.37,65.97,6.27,52.17,mungbean
22,42,26,38.79,21.83,8.47,281.12,mungbean
14,143,65,37.79,94.61,5.87,199.49,mungbean
40,140,187,12.24,33.12,7.05,213.78,mungbean
99,33,153,20.76,17.92,3.7,44.89,mungbean
97,53,132,42.76,21.13,9.53,290.45,mungbean
104,52,62,16.88,18.18,6.2,93.23,mungbean
27,82,184,39.52,47.16,4.14,213.06,mungbean
17,36,7,18.83,59.75,5.9,134.11,mungbean
63,25,172,16.41,82.26,5.48,206.41,mungbean
134,140,176,23.42,93.34,6.96,119.69,mungbean
100,131,75,38.09,24.2,4.24,205.28,blackgram
35,123,83,40.89,55.79,6.26,180.32,blackgram
72,25,113,15.29,16.62,9.2,182.91,blackgram
13,58,176,30.13,95.27,7.84,255.67,blackgram
104,129,23,20.09,98.74,6.76,194.75,blackgram
78,84,25,15.84,15.22,3.6,101.55,blackgram
64,111,93,8.82,14.19,7.96,254.33,blackgram
73,74,15,21.29,53.51,7.36,286.85,blackgram
115,25,182,19.78,16.69,7.56,73.27,blackgram
78,109,172,39.28,34.96,6.88,264.25,blackgram
55,81,138,13.35,22.05,6.09,90.11,blackgram
96,19,98,28.17,87.12,6.52,174.13,blackgram
27,41,55,37.02,88.44,6.49,78.56,blackgram
18,24,163,37.31,39.01,8.75,109.32,blackgram
31,47,72,19.36,46.5,8.92,96.51,blackgram
49,100,66,27.96,61.45,4.72,262.65,blackgram
70,6,204,21.56,27.53,3.68,134.0,blackgram
1,134,6,27.7,39.69,7.02,291.2,blackgram
89,10,185,26.54,26.04,4.39,267.41,blackgram
63,65,139,17.16,38.14,6.93,224.86,blackgram
34,85,13,21.25,39.96,5.53,176.9,blackgram
58,11,52,12.64,60.22,4.62,179.52,blackgram
2,17,116,31.49,29.49,8.09,225.16,blackgram
88,58,42,32.83,54.08,5.7,281.11,blackgram
66,134,186,36.89,81.24,5.79,219.78,blackgram
122,65,67,28.48,30.47,9.17,201.44,blackgram
109,24,106,24.61,93.42,7.67,261.86,blackgram
81,9,40,32.06,28.61,5.63,70.0,blackgram
56,98,92,17.16,32.3,8.77,154.68,blackgram
83,33,165,26.95,99.75,7.92,113.43,blackgram
135,124,18,24.53,45.68,5.76,172.66,blackgram
17,106,56,20.27,80.57,9.13,67.22,blackgram
55,97,36,37.04,45.04,6.28,297.81,blackgram
18,43,116,15.41,31.64,6.12,68.62,blackgram
130,36,196,41.55,90.46,6.02,271.56,blackgram
26,41,46,17.55,98.88,8.72,91.16,blackgram
37,140,164,24.28,59.31,6.46,163.41,blackgram
81,144,125,37.59,66.53,6.15,296.66,blackgram
50,40,157,25.05,22.82,6.81,105.13,blackgram
95,42,27,32.89,79.13,7.93,208.93,blackgram
128,33,81,41.12,43.32,4.87,23.38,blackgram
26,145,64,19.84,58.4,6.95,97.66,blackgram
64,118,157,15.83,69.21,8.46,154.12,blackgram
100,87,189,24.47,28.45,9.37,161.66,blackgram
128,135,70,42.14,83.67,7.5,258.01,blackgram
34,52,203,17.91,97.93,8.86,133.05,blackgram
72,119,197,18.17,15.23,7.1,256.39,blackgram
86,11,126,40.46,45.34,4.44,169.69,blackgram
118,133,25,9.6,44.48,3.83,65.2,blackgram
37,30,98,33.01,91.74,3.96,128.67,blackgram
110,116,197,36.62,41.4,8.15,276.56,blackgram
95,25,58,9.57,26.38,6.55,270.28,blackgram
36,112,193,38.39,42.83,6.72,169.0,blackgram
99,125,26,15.94,54.7,4.8,160.39,blackgram
117,27,50,41.58,21.25,4.08,43.16,blackgram
98,6,107,31.26,53.65,6.01,43.05,blackgram
82,42,180,20.92,88.49,3.71,245.22,blackgram
1,72,160,38.66,66.36,4.46,190.84,blackgram
3,84,61,41.48,65.59,7.13,51.85,blackgram
97,15,35,30.39,37.18,9.07,72.54,blackgram
107,18,53,16.22,58.19,8.89,163.96,blackgram
74,140,201,23.31,19.73,7.32,55.28,blackgram
32,82,25,36.28,55.96,7.86,125.89,blackgram
58,110,169,26.14,75.57,7.83,229.84,blackgram
65,57,14,12.03,19.04,8.6,205.37,blackgram
130,83,95,42.84,71.61,9.43,248.92,blackgram
52,67,97,19.26,93.33,9.39,192.26,blackgram
121,103,54,34.77,28.76,8.28,200.77,blackgram
3,84,5,25.49,83.72,5.52,29.27,blackgram
8,16,90,39.08,16.14,9.62,132.47,blackgram
59,26,52,33.05,64.15,8.6,218.36,blackgram
117,122,62,26.44,99.6,7.13,52.49,blackgram
49,16,186,19.0,55.38,4.52,231.93,blackgram
69,26,108,13.74,15.51,3.67,124.62,blackgram
100,6,133,19.95,79.34,7.86,226.86,blackgram
51,118,58,24.79,48.71,4.21,179.1,blackgram
119,43,170,17.69,67.17,5.93,169.47,blackgram
128,28,118,12.2,88.47,9.08,35.84,blackgram
53,124,56,38.02,82.34,7.6,273.42,blackgram
43,43,95,30.1,33.09,6.28,127.65,blackgram
71,138,136,18.49,65.67,4.08,152.66,blackgram
114,123,44,23.23,53.28,5.09,33.48,blackgram
138,68,171,26.7,64.66,3.54,287.86,blackgram
82,28,82,20.76,69.53,9.85,34.37,blackgram
32,54,190,27.02,29.29,6.56,168.17,blackgram
99,59,137,30.59,99.68,7.26,51.27,blackgram
29,23,203,10.76,57.22,5.39,47.04,blackgram
40,86,184,14.7,86.71,9.17,107.09,blackgram
132,67,192,22.38,68.25,7.95,146.62,blackgram
112,55,85,10.13,23.27,9.36,174.59,blackgram
53,95,118,15.63,60.6,5.64,284.92,blackgram
67,50,143,34.17,91.49,7.71,161.88,blackgram
64,128,20,36.66,44.34,4.14,116.48,blackgram
44,71,192,19.02,96.23,6.89,33.9,blackgram
49,124,31,32.3,89.22,8.32,42.32,blackgram
115,33,108,37.25,56.09,5.69,30.57,blackgram
91,77,126,23.64,16.58,8.11,219.44,blackgram
16,123,33,43.13,43.22,6.12,30.06,blackgram
103,83,62,24.42,20.07,4.47,205.76,blackgram
36,126,201,23.2,43.63,4.51,234.58,blackgram
123,75,183,25.43,80.85,9.23,79.5,lentil
45,45,115,38.45,65.45,5.85,85.68,lentil
94,102,62,13.83,96.78,7.94,251.87,lentil
101,52,158,18.84,57.27,5.73,234.65,lentil
71,131,29,9.94,45.68,3.99,88.64,lentil
78,13,15,27.21,96.14,5.99,112.19,lentil
100,13,114,42.54,26.43,6.42,192.27,lentil
128,105,66,21.09,61.35,7.13,234.44,lentil
27,67,20,27.6,20.12,7.34,164.15,lentil
103,143,118,9.03,57.16,8.34,150.31,lentil
124,39,177,35.38,20.39,5.02,238.3,lentil
111,45,19,10.07,73.61,6.5,227.8,lentil
52,44,64,12.92,73.11,4.08,178.2,lentil
67,22,35,12.65,96.72,4.17,111.75,lentil
134,107,49,20.79,56.84,6.31,239.23,lentil
38,29,165,33.29,32.42,5.37,84.98,lentil
120,141,187,9.21,27.6,8.98,256.36,lentil
140,33,84,30.74,63.38,6.56,266.97,lentil
85,100,6,24.94,50.86,4.3,134.96,lentil
12,93,192,29.15,81.06,4.81,220.89,lentil
125,78,133,15.94,62.42,4.83,172.16,lentil
90,122,134,41.34,34.8,6.82,214.97,lentil
131,62,42,10.41,81.27,9.49,124.63,lentil
35,38,204,34.76,65.54,9.74,62.78,lentil
104,27,44,14.61,25.82,3.69,229.69,lentil
69,38,90,14.65,48.79,9.47,178.54,lentil
103,108,57,9.99,45.49,9.01,244.19,lentil
115,73,43,10.39,23.15,5.44,221.69,lentil
137,61,147,19.94,74.04,3.85,126.26,lentil
73,141,110,32.12,62.14,4.32,223.98,lentil
42,13,174,24.27,19.62,3.67,85.18,lentil
126,53,149,29.67,95.52,6.5,130.0,lentil
125,75,51,42.23,75.59,4.73,172.3,lentil
23,23,136,39.62,38.56,7.7,167.92,lentil
134,6,126,24.24,50.77,6.41,240.07,lentil
63,8,51,25.14,65.76,7.33,103.56,lentil
110,133,163,28.89,29.12,5.86,287.08,lentil
16,30,53,28.89,73.44,9.51,45.9,lentil
109,12,64,8.97,18.84,7.98,133.82,lentil
54,65,152,25.68,26.29,6.37,126.55,lentil
35,46,170,14.64,70.3,9.44,119.15,lentil
44,9,23,21.74,62.69,7.68,101.51,lentil
54,13,155,17.22,66.15,6.61,262.78,lentil
53,134,118,11.87,49.07,5.32,218.42,lentil
25,111,110,40.62,24.02,7.24,33.83,lentil
127,118,104,18.6,92.29,8.23,169.33,lentil
80,113,91,24.73,98.38,8.83,101.2,lentil
51,17,52,14.56,69.49,4.6,139.24,lentil
76,30,24,37.52,35.96,9.25,289.91,lentil
86,64,111,25.9,73.74,4.41,262.78,lentil
94,81,134,16.43,25.37,3.78,130.36,lentil
119,31,86,12.55,24.93,7.13,216.26,lentil
11,68,127,34.01,60.43,4.86,66.62,lentil
21,39,195,20.96,73.5,4.77,270.1,lentil
132,28,164,41.87,53.7,7.74,134.02,lentil
41,70,203,12.76,20.8,4.88,180.7,lentil
5,32,119,12.62,60.64,9.53,175.97,lentil
96,24,79,17.46,72.8,7.0,53.58,lentil
16,131,135,36.39,33.14,8.71,217.32,lentil
60,7,151,19.26,63.63,9.23,31.03,lentil
15,109,85,17.84,20.07,4.4,88.88,lentil
47,85,122,17.65,42.12,4.95,256.48,lentil
1,65,183,21.07,53.42,4.85,37.06,lentil
132,9,26,33.46,74.91,5.06,255.66,lentil
46,116,50,28.78,79.66,5.48,210.11,lentil
15,73,98,27.47,76.58,4.9,157.43,lentil
129,99,150,42.46,54.49,8.09,240.94,lentil
15,20,11,28.62,30.68,7.04,183.64,lentil
44,68,110,21.1,22.55,7.75,159.1,lentil
75,139,16,17.17,78.5,9.09,295.83,lentil
53,105,44,31.14,22.52,5.59,73.95,lentil
112,38,67,37.58,34.34,6.37,45.04,lentil
134,8,147,13.47,85.09,8.19,155.01,lentil
135,31,153,39.56,46.84,8.3,73.54,lentil
23,80,11,24.54,14.92,5.8,200.96,lentil
108,9,108,25.03,55.13,8.68,125.87,lentil
97,64,72,14.79,33.62,4.3,56.5,lentil
11,138,137,14.32,51.15,4.1,133.89,lentil
124,78,8,19.98,53.65,4.38,152.6,lentil
76,112,107,14.33,33.41,8.03,144.91,lentil
51,17,179,32.89,94.3,6.4,288.06,lentil
95,132,103,29.14,57.78,9.04,63.08,lentil
136,136,153,38.0,29.66,7.0,223.64,lentil
64,50,79,18.71,16.38,8.41,210.73,lentil
53,124,192,25.49,14.08,6.97,121.98,lentil
101,18,37,9.08,45.67,4.95,63.18,lentil
72,18,27,37.25,19.19,6.35,218.17,lentil
122,21,134,30.99,70.29,6.23,215.32,lentil
26,30,99,40.26,23.72,3.58,218.27,lentil
77,92,190,26.83,75.41,9.35,47.04,lentil
116,100,140,14.53,46.35,3.69,112.3,lentil
121,77,76,20.85,28.64,6.74,100.59,lentil
126,11,102,34.11,76.09,8.85,84.56,lentil
35,24,116,25.57,55.26,8.77,40.56,lentil
6,53,114,31.7,54.7,6.04,131.72,lentil
75,110,9,32.5,98.03,8.91,66.16,lentil
139,90,84,41.2,17.26,5.99,189.67,lentil
100,63,27,12.69,84.92,6.87,183.98,lentil
0,117,89,24.58,76.98,7.47,247.7,lentil
40,70,141,26.04,70.48,7.41,284.11,lentil
98,40,187,16.96,26.18,6.92,237.17,pomegranate
4,97,177,38.32,20.45,6.69,255.86,pomegranate
52,40,57,33.21,28.72,9.61,284.08,pomegranate
10,61,116,11.74,88.64,8.97,233.45,pomegranate
44,51,30,29.48,60.58,6.67,133.74,pomegranate
14,72,145,38.22,86.17,9.14,54.3,pomegranate
89,42,13,12.65,80.99,5.52,133.25,pomegranate
21,144,9,41.02,56.66,3.99,290.32,pomegranate
92,18,93,25.93,76.04,5.85,45.05,pomegranate
113,102,42,12.69,49.36,4.0,261.34,pomegranate
58,72,38,22.33,20.06,9.16,222.46,pomegranate
31,116,190,26.6,37.47,5.57,297.91,pomegranate
57,101,125,24.52,28.81,9.55,67.31,pomegranate
74,53,183,38.18,94.22,5.51,63.57,pomegranate
59,53,187,36.76,23.77,4.56,266.06,pomegranate
133,15,48,37.14,47.75,9.68,34.79,pomegranate
53,131,11,31.84,42.31,6.54,218.76,pomegranate
31,75,40,40.0,43.95,4.05,121.19,pomegranate
120,106,102,42.87,49.84,4.83,53.0,pomegranate
92,71,116,19.57,45.05,5.96,274.24,pomegranate
88,47,86,21.02,44.14,4.59,248.96,pomegranate
50,33,8,21.2,49.62,7.24,147.84,pomegranate
38,60,182,19.86,82.98,7.8,46.39,pomegranate
79,54,98,38.02,17.32,6.15,206.46,pomegranate
103,33,92,20.72,18.33,3.79,128.38,pomegranate
67,121,27,14.73,55.12,6.73,134.47,pomegranate
19,138,205,26.86,40.07,4.66,243.07,pomegranate
24,76,38,16.88,34.91,9.54,206.68,pomegranate
19,28,136,43.21,70.32,7.63,282.6,pomegranate
123,110,109,17.27,77.28,8.5,194.13,pomegranate
46,80,196,13.99,37.7,5.14,163.43,pomegranate
42,135,171,31.62,14.82,6.61,220.33,pomegranate
102,21,46,16.95,68.43,5.45,28.96,pomegranate
10,92,153,23.91,42.04,6.29,60.32,pomegranate
23,30,96,10.62,63.16,7.53,289.13,pomegranate
140,6,46,35.96,98.97,9.76,98.29,pomegranate
69,101,197,18.75,86.04,6.26,144.97,pomegranate
98,87,168,12.2,45.11,7.93,81.55,pomegranate
129,40,51,26.74,50.19,6.54,194.8,pomegranate
85,134,24,22.87,90.47,9.22,75.95,pomegranate
126,121,192,18.68,50.41,3.75,221.88,pomegranate
27,120,141,14.0,87.44,6.73,216.46,pomegranate
82,66,84,23.54,33.13,4.24,108.41,pomegranate
60,139,194,34.89,66.66,7.91,74.81,pomegranate
21,105,189,26.33,70.99,5.02,104.19,pomegranate
89,50,169,35.01,96.84,7.52,71.37,pomegranate
16,80,75,32.35,56.78,6.61,165.01,pomegranate
43,80,128,31.57,37.59,5.03,154.13,pomegranate
56,48,181,39.54,56.06,5.71,220.49,pomegranate
40,123,94,29.21,89.21,6.73,95.52,pomegranate
90,57,158,27.43,23.91,4.94,234.78,pomegranate
140,24,60,9.71,29.86,4.21,211.49,pomegranate
38,113,196,16.76,45.51,4.18,223.42,pomegranate
34,44,67,25.76,96.54,5.52,266.08,pomegranate
85,12,123,14.18,43.71,6.78,198.8,pomegranate
133,15,6,30.39,77.01,4.44,175.39,pomegranate
33,81,81,18.81,79.31,4.01,266.87,pomegranate
115,79,178,24.13,29.99,7.87,158.77,pomegranate
89,74,199,15.26,15.77,9.46,59.62,pomegranate
111,42,13,23.52,55.04,6.75,204.6,pomegranate
82,12,176,11.32,51.42,8.28,243.25,pomegranate
1,74,73,39.8,28.13,4.77,115.32,pomegranate
7,8,95,15.38,17.55,8.52,190.11,pomegranate
57,109,157,19.49,88.45,8.05,279.55,pomegranate
53,38,14,41.99,35.57,5.63,284.69,pomegranate
96,121,19,16.27,15.9,5.73,54.29,pomegranate
59,17,97,41.11,48.96,4.6,126.91,pomegranate
39,54,43,37.95,89.2,5.06,245.19,pomegranate
108,80,12,11.19,33.02,6.66,221.0,pomegranate
81,26,93,11.44,97.78,6.46,56.86,pomegranate
135,41,121,35.94,91.94,7.96,293.23,pomegranate
90,120,54,27.02,56.32,3.64,67.77,pomegranate
125,116,27,20.76,22.01,8.93,71.12,pomegranate
43,78,161,35.73,30.09,8.92,117.74,pomegranate
115,61,8,33.34,61.67,4.44,140.26,pomegranate
62,69,78,41.69,98.1,8.45,211.0,pomegranate
132,139,101,14.15,34.6,4.41,91.77,pomegranate
25,39,203,18.86,36.3,9.29,290.12,pomegranate
0,64,175,33.69,64.55,5.07,131.62,pomegranate
50,58,35,9.65,80.33,8.36,27.78,pomegranate
115,126,61,19.07,94.35,7.4,205.2,pomegranate
21,133,42,34.82,17.0,7.66,64.76,pomegranate
79,133,45,24.98,15.34,7.08,93.9,pomegranate
103,52,5,42.53,80.23,3.76,289.8,pomegranate
16,44,143,41.77,95.51,7.02,187.34,pomegranate
46,61,180,20.32,78.35,5.93,176.23,pomegranate
90,77,188,37.13,49.1,8.71,268.67,pomegranate
95,32,11,11.64,87.05,5.46,275.74,pomegranate
27,137,13,43.5,20.04,9.15,297.42,pomegranate
17,131,49,29.59,68.38,5.77,188.59,pomegranate
110,69,164,10.17,41.72,8.78,272.85,pomegranate
24,54,70,35.58,56.72,5.66,78.79,pomegranate
95,88,138,40.79,25.24,6.06,247.87,pomegranate
130,127,75,22.76,33.06,8.7,89.55,pomegranate
32,139,101,38.32,88.89,5.23,93.36,pomegranate
99,90,35,22.33,93.49,6.44,214.99,pomegranate
50,62,115,42.32,30.37,5.43,287.84,pomegranate
